,0
CAN,0.9575835464672204
USA,8.00696170060046
MEX,1.3264881239817317
RCAM,1.3710010853545835
BRA,1.5343329448609426
RSAM,2.4963172213044085
NAF,1.7076738775259077
WAF,8.002141911804552
EAF,2.893844458238355
SAF,0.863862186250216
WEU,6.590687378477541
CEU,0.9785470460061456
TUR,0.8834989165939274
UKR,0.5949921097266984
STAN,0.7332776471447691
RUS,2.3524659787397173
ME,4.885087903849728
INDIA,11.601600801889155
KOR,0.6089279160252766
CHN,8.975163189657799
SEAS,3.610727533232244
INDO,2.299561402232788
JAP,1.3089038972153102
OCE,0.7471825348371308
RSAS,5.022473235566479
RSAF,2.7942762168110433
