Region,0
CAN,74.48945567204925
USA,608.4600519658843
MEX,149.0759260035797
RCAM,118.8980003713235
BRA,141.24914451212393
RSAM,231.6937322051353
NAF,166.5512467094945
WAF,708.88547441681
EAF,323.20155018295776
SAF,47.504757332033755
WEU,613.2641382767472
CEU,108.47079358560958
TUR,90.42730086810865
UKR,33.61548653711815
STAN,46.106804071909814
RUS,139.3670727543157
ME,309.8462609787739
INDIA,1020.2372097766795
KOR,66.73797470426824
CHN,1145.261499865744
SEAS,291.9656183754177
INDO,199.14535628768667
JAP,111.8048249990564
OCE,65.07978755498073
RSAS,335.1820208331633
RSAF,199.8982449899402
