Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
CAN,0.0,0.0014170612995070878,0.0043369885186651195,0.006271946606742357,0.007188037804492318,0.007628545617757122,0.007916664474784065,0.00851145426326524,0.009483708012139793,0.010794457997661542,0.012149882061215981,0.013135006728046648,0.01365751289673312,0.013893413293474648,0.014310400169342883,0.01528156424924731,0.016431526639015488,0.014824768865384362,0.014613561874595341,0.014381783630655174,0.014139132928647873,0.013892162554118239,0.01364354537034427,0.013395632256696993,0.013150780869203092,0.012909879866424947,0.012670424440752021
USA,0.0,0.021069316326289715,0.05362464341230113,0.05959830496873439,0.06603065238570445,0.0725340757098979,0.07792167588823011,0.08020295956345579,0.08120991647533596,0.08354708455109819,0.08685964480475213,0.09006046343594724,0.0924442390512086,0.09341423589632143,0.09249482839294476,0.08950671092987646,0.08476320594111404,0.06486283718470183,0.05865296857204894,0.053271846058056585,0.04864913601795437,0.04465870435808512,0.04126982807278974,0.03846752846078741,0.0361959037225193,0.034413979898231625,0.033170436556242876
MEX,0.0,0.00031986187411292745,-0.001267681121626562,-0.001123758903094969,-0.001360749974343328,-0.0014020449569718582,-0.0013784173927332743,-0.0015320838491716348,-0.0016690370163301455,-0.0014164574608363384,-0.0006931376904579695,0.0003738858479496276,0.0015051856326379978,0.002467313647263343,0.003341353119442363,0.004277150430823464,0.005229365172777449,0.004887325845286912,0.005368865015319346,0.005727114711004161,0.005988450309640624,0.00618161083380053,0.006312875297592938,0.006383632559338539,0.0064025457924171665,0.006374893321236732,0.006292172045365668
RCAM,-0.0,-0.00014801874168861035,-0.0006360664568970117,-0.00047047408897944645,-0.00043515377988188723,-0.00026212940054720846,4.426607961331223e-05,0.0004110815202245626,0.0010246651461525047,0.002244264862156854,0.00417009385351733,0.006698313256965669,0.009598876076632488,0.012628957791566964,0.015743158213751902,0.018922325733285308,0.02201637537448544,0.02063305873492935,0.02186636971629133,0.022801695994451532,0.02349126331716312,0.02399675543976412,0.024330479008657164,0.02449522413590767,0.024511833813098193,0.024391632798534835,0.02410893067199094
BRA,0.0,0.0004539634048815034,-0.006736122316015436,-0.030615191952783217,-0.04362081742395901,-0.0525911623509911,-0.058225970173237225,-0.05953725326736987,-0.05790735355466236,-0.05674192596824696,-0.060308072774558255,-0.07108051266490946,-0.0810489210251842,-0.0812026313035657,-0.07764979852169829,-0.07964703936701913,-0.08447225637356696,-0.0722040086870107,-0.0700543559781533,-0.0681345859466798,-0.0664059109073621,-0.06475010994403646,-0.06318219912990689,-0.061737820482675,-0.0604149416829455,-0.05920289387433893,-0.058107283966648236
RSAM,0.0,-0.0012069155511058491,-0.008636941158801394,-0.022018965819716622,-0.026625873564099446,-0.0344778540644591,-0.0425527097287399,-0.046491261481706236,-0.04832762730186343,-0.05239671088139539,-0.05861316597593874,-0.06513880348270386,-0.07056446749838534,-0.07405852386115357,-0.07695083719132116,-0.08078711667921187,-0.08463151969490602,-0.07483229351262308,-0.07251686296580667,-0.07044549041377646,-0.06857528134781606,-0.06685997903936425,-0.06528629161096791,-0.06385143285153316,-0.06254369186187873,-0.061352109216377265,-0.06027702203960153
NAF,-0.0,-0.0009563238136046261,0.0013511419645316465,0.002844205602172484,0.0038729784543727035,0.0050628924872891164,0.006504418630756453,0.008301725659443166,0.01068763617286235,0.013921124970593586,0.01781399336870429,0.021931014508797916,0.026099861419138247,0.030297878853136055,0.034527969938506604,0.0387597208379239,0.04282517750974868,0.042699719490470994,0.04204886777747633,0.041391743232457846,0.04073788641500811,0.04010287938416435,0.039483560846126815,0.03887605393939284,0.038280184486468694,0.03769592050905613,0.03711364838864982
WAF,-0.0,-0.01691558635043224,-0.048130379897655694,-0.052007329755461,-0.049770512651279936,-0.05546233587286705,-0.061237533338691634,-0.05576940414134524,-0.05008922164593766,-0.05950057910462313,-0.07990262597805145,-0.10206357551186046,-0.1238089415792363,-0.14534384305403675,-0.1661124164541108,-0.1851941466921729,-0.20355886643875007,-0.19768675548129302,-0.2016546840735545,-0.204994226005752,-0.20765197499784677,-0.2097925149897059,-0.21126899357734877,-0.21189955826864515,-0.21168095924374747,-0.21060620247560646,-0.20844677051793795
EAF,-0.0,-0.0026627258921807615,-0.007501605350883479,-0.009296755395726403,-0.009843005757637127,-0.01035750275710091,-0.011219862294036318,-0.012605999098766347,-0.014722614121535884,-0.0177175047204662,-0.02184819143693587,-0.027232265649718174,-0.033648867721638706,-0.04062508735301833,-0.046374595135044945,-0.04945275716088178,-0.05130316241079422,-0.04095992554545608,-0.043672479499130425,-0.045869849810037236,-0.047613692214897314,-0.049082372644474494,-0.05023220158217166,-0.05099317948977054,-0.0513796380302881,-0.05140511011515066,-0.05098861587624076
SAF,-0.0,-0.00034625500621618486,-0.0026831560223757336,-0.003089987491371556,-0.0035752304949068863,-0.004245774532492492,-0.00512429718489549,-0.006223149167723159,-0.007295410058373537,-0.007983657607158936,-0.008301046826191455,-0.008421185603225087,-0.008570668215409792,-0.00894618011949126,-0.009497198050505074,-0.010085153294687862,-0.010571674070213142,-0.009372784868548019,-0.008981781595792103,-0.008620795665209034,-0.008289639172366645,-0.007984600637147116,-0.007707441480314612,-0.0074606788219897975,-0.007244184315875653,-0.00705694357657169,-0.006902279754106496
