,Region,CBR
0,BRA,1.852735004968587
1,CAN,2.094092704408922
2,CEU,2.4131076695655023
3,CHN,0.9849153274440335
4,EAF,39.351629872315165
5,INDIA,7.547707852308803
6,INDO,4.370429901675296
7,JAP,2.4658365722648212
8,KOR,2.151778719648803
9,ME,0.8337550478756804
10,MEX,3.881590919908944
11,NAF,7.688852060956515
12,OCE,3.3054248464448714
13,RCAM,3.346033362916786
14,RSAF,6.966069735715773
15,RSAM,2.480709515687161
16,RSAS,6.574273508951864
17,RUS,0.7083405916469401
18,SAF,2.443405900332422
19,SEAS,4.655385639852365
20,STAN,0.8466926527094742
21,TUR,1.3588929688794575
22,UKR,0.7213544316698516
23,USA,1.561252596579564
24,WAF,12.20431790758767
25,WEU,1.9171258103396471
