,Region,0,Burden sharing
0,CAN,1.0134090000245037,GF
1,USA,0.9765847260027343,GF
2,MEX,0.8318986741891079,GF
3,RCAM,1.0608033743077105,GF
4,BRA,1.181034423411154,GF
5,RSAM,1.0994097903439837,GF
6,NAF,1.1157496803931797,GF
7,WAF,1.1962939643813575,GF
8,EAF,1.0233695853517109,GF
9,SAF,1.9367728061680962,GF
10,WEU,0.8223368587102357,GF
11,CEU,0.7672581604698583,GF
12,TUR,0.9807531585774808,GF
13,UKR,1.862049582475721,GF
14,STAN,1.7286619822653364,GF
15,RUS,1.5902153820282268,GF
16,ME,1.6995550656227332,GF
17,INDIA,1.388268777180867,GF
18,KOR,0.7957576825217552,GF
19,CHN,0.6868580415586135,GF
20,SEAS,1.3867322241953453,GF
21,INDO,1.1701204910766605,GF
22,JAP,0.7887940138383179,GF
23,OCE,0.9511631784854504,GF
24,RSAS,1.7845862285486884,GF
25,RSAF,1.5394833956153997,GF
26,CAN,1.1967891674936024,IEPC
27,USA,1.2502416030464039,IEPC
28,MEX,0.797552018802216,IEPC
29,RCAM,0.9825528327512871,IEPC
30,BRA,1.3944044073356154,IEPC
31,RSAM,1.1463004462140425,IEPC
32,NAF,0.9595940113406247,IEPC
33,WAF,0.9582255342566338,IEPC
34,EAF,0.6088730651268942,IEPC
35,SAF,2.1714749217164333,IEPC
36,WEU,0.9034270219691131,IEPC
37,CEU,0.9029259220441153,IEPC
38,TUR,0.971870750191259,IEPC
39,UKR,2.1484647550563,IEPC
40,STAN,1.895792396927851,IEPC
41,RUS,2.021516323487805,IEPC
42,ME,1.72191688798666,IEPC
43,INDIA,1.1490572921167346,IEPC
44,KOR,1.1828557821439858,IEPC
45,CHN,0.970719268438566,IEPC
46,SEAS,1.3006632692312516,IEPC
47,INDO,1.2769557613916676,IEPC
48,JAP,1.070548371334456,IEPC
49,OCE,1.0716210010175633,IEPC
50,RSAS,1.3667591701766912,IEPC
51,RSAF,1.3419300509394976,IEPC
52,CAN,1.1737111855363853,PCC
53,USA,1.2245832007474868,PCC
54,MEX,0.803186589813749,PCC
55,RCAM,0.9917110577532041,PCC
56,BRA,1.3981862893464319,PCC
57,RSAM,1.152167896334724,PCC
58,NAF,0.9691392155852435,PCC
59,WAF,0.9706798802833291,PCC
60,EAF,0.6382537179498609,PCC
61,SAF,2.1544671363116166,PCC
62,WEU,0.8966554660560616,PCC
63,CEU,0.8979992088082243,PCC
64,TUR,0.967818289341766,PCC
65,UKR,2.1238406096325555,PCC
66,STAN,1.866729556077736,PCC
67,RUS,1.9659503002210759,PCC
68,ME,1.7081186684113892,PCC
69,INDIA,1.1719781760083647,PCC
70,KOR,1.1497348665944462,PCC
71,CHN,0.9533601295039394,PCC
72,SEAS,1.3073180970970315,PCC
73,INDO,1.2723094884161872,PCC
74,JAP,1.0568851821717662,PCC
75,OCE,1.060972688381275,PCC
76,RSAS,1.4046227410248682,PCC
77,RSAF,1.346238166877742,PCC
78,CAN,1.2565995579680274,AP
79,USA,1.2830203054456413,AP
80,MEX,0.874051367798131,AP
81,RCAM,1.0891052614629069,AP
82,BRA,1.2426392284191028,AP
83,RSAM,1.1334816805430865,AP
84,NAF,0.9949548472494616,AP
85,WAF,0.9580363842836122,AP
86,EAF,0.744656708719869,AP
87,SAF,1.9160058576915742,AP
88,WEU,0.995079413196946,AP
89,CEU,0.9557841403938503,AP
90,TUR,1.0046756872315794,AP
91,UKR,1.9011063782031323,AP
92,STAN,1.6681193382182034,AP
93,RUS,1.855472069125839,AP
94,ME,1.5613764796099046,AP
95,INDIA,1.1323677113881225,AP
96,KOR,1.198303307659254,AP
97,CHN,1.0062057333233831,AP
98,SEAS,1.2412374260880958,AP
99,INDO,1.231657368669338,AP
100,JAP,1.1251437894263066,AP
101,OCE,1.1181193042165665,AP
102,RSAS,1.306861256930253,AP
103,RSAF,1.2313296246113428,AP
104,CAN,1.2855289890734636,GDR
105,USA,1.315938766190258,GDR
106,MEX,0.8898070664675122,GDR
107,RCAM,1.1530901117536787,GDR
108,BRA,1.0862599912803332,GDR
109,RSAM,1.0774211272552843,GDR
110,NAF,1.025314376964408,GDR
111,WAF,1.1288342335393176,GDR
112,EAF,0.8953683720267459,GDR
113,SAF,1.8184751060030993,GDR
114,WEU,1.0746898387042756,GDR
115,CEU,0.9021295167660374,GDR
116,TUR,0.9770267475776383,GDR
117,UKR,1.769994044470275,GDR
118,STAN,1.5903892319257766,GDR
119,RUS,1.687963973302919,GDR
120,ME,1.5766167028829765,GDR
121,INDIA,1.1371473899122575,GDR
122,KOR,0.9124159351906922,GDR
123,CHN,0.783678067472794,GDR
124,SEAS,1.2366961402247945,GDR
125,INDO,1.1547150509052428,GDR
126,JAP,1.1707043029908208,GDR
127,OCE,1.148102295518245,GDR
128,RSAS,1.498431575501006,GDR
129,RSAF,1.3978492992530598,GDR
130,CAN,0.9961214871759504,none
131,USA,1.0889854303493645,none
132,MEX,0.8517639295738507,none
133,RCAM,0.9335983081500832,none
134,BRA,1.9593486420893549,none
135,RSAM,1.5379242960236887,none
136,NAF,0.7565363962060029,none
137,WAF,1.262664882077325,none
138,EAF,0.9046562157457343,none
139,SAF,2.1689218528325,none
140,WEU,0.7147297491634075,none
141,CEU,0.8196252365402029,none
142,TUR,0.7973742580590393,none
143,UKR,1.8196085076613713,none
144,STAN,1.3178898815369888,none
145,RUS,1.4110643919218002,none
146,ME,1.3775459082931247,none
147,INDIA,1.2361495379399097,none
148,KOR,0.9924289873850443,none
149,CHN,0.942734032126639,none
