,0
BRA,1.3160642194513268
CAN,0.5350066562272698
CEU,0.6562680074770324
CHN,8.650207803184829
EAF,0.29047706868670664
INDIA,6.136042200017836
INDO,1.5419473527890193
JAP,0.8038530205858752
KOR,0.5970736810963385
ME,2.9271936894786172
MEX,0.6357438556781785
NAF,0.7612501025935242
OCE,0.41578228205693846
RCAM,0.573229524680399
RSAF,1.0168594596031602
RSAM,1.594322210720606
RSAS,1.4603656989862586
RUS,1.9197728101078841
SAF,0.642465191193102
SEAS,2.061501549610517
STAN,0.5305798642021653
TUR,0.5399837257437201
UKR,0.456313202886366
USA,4.749470597432093
WAF,2.095196552934084
WEU,3.138496719062095
