,Region,CBR
0,BRA,2.7980047083052098
1,CAN,1.4133031192979348
2,CEU,1.9113613145522894
3,CHN,1.1498078402087524
4,EAF,20.418424533451233
5,INDIA,10.84592768159338
6,INDO,7.029711360375232
7,JAP,1.2284644944845313
8,KOR,3.8989213282164017
9,ME,1.0450147044032405
10,MEX,3.773431738201555
11,NAF,9.282917736973355
12,OCE,2.213573162178586
13,RCAM,3.9303000995122965
14,RSAF,11.038834049511353
15,RSAM,3.3984909063206823
16,RSAS,8.133449679496177
17,RUS,0.8068212749587403
18,SAF,3.3760756070475133
19,SEAS,6.38638498209444
20,STAN,1.1974927328866867
21,TUR,1.2870026272054347
22,UKR,1.1308344340076557
23,USA,0.8896262911708291
24,WAF,15.835634056993523
25,WEU,1.0272308304178606
