,IMAGE_region_num,Region
0,0,CAN
1,1,USA
2,2,MEX
3,3,RCAM
4,4,BRA
5,5,RSAM
6,6,NAF
7,7,WAF
8,8,EAF
9,9,SAF
10,10,WEU
11,11,CEU
12,12,TUR
13,13,UKR
14,14,STAN
15,15,RUS
16,16,ME
17,17,INDIA
18,18,KOR
19,19,CHN
20,20,SEAS
21,21,INDO
22,22,JAP
23,23,OCE
24,24,RSAS
25,25,RSAF
