,0
CAN,0.7548828478498103
USA,5.942127931327126
MEX,1.240160651958915
RCAM,1.261273999923394
BRA,1.6682010194619508
RSAM,2.5472635754766286
NAF,1.858295002852041
WAF,8.48035414482445
EAF,3.3075463639576372
SAF,0.9200592216429748
WEU,5.043097050301399
CEU,0.8322510155120051
TUR,0.8868686094803373
UKR,0.6259370267115908
STAN,0.7970307932286709
RUS,2.2162366284215986
ME,5.266007824107386
INDIA,14.163634636510906
KOR,0.5310725608686401
CHN,7.866320708702653
SEAS,4.048781313583124
INDO,2.3302406209498447
JAP,0.8819097667749641
OCE,0.6190149758595332
RSAS,5.981612184359828
RSAF,3.0774002897467216
