,Region,CBR
0,CAN,4.960158408330732
1,USA,3.4185561535106035
2,MEX,8.604783643941927
3,RCAM,7.144697462777141
4,BRA,6.337400899050774
5,RSAM,6.965035122024048
6,NAF,15.68542311524139
7,WAF,19.829403966622323
8,EAF,25.118722665159662
9,SAF,7.531462634239273
10,WEU,3.8631969740577836
11,CEU,6.304147474004068
12,TUR,3.099198251317662
13,UKR,2.158782392714111
14,STAN,2.3672033604536202
15,RUS,2.0864899019763916
16,ME,2.037034103052708
17,INDIA,16.969847138287403
18,KOR,6.675298350882307
19,CHN,2.317639757742109
20,SEAS,11.106074781762993
21,INDO,11.652307089296352
22,JAP,5.45609889175508
23,OCE,7.884841021154987
24,RSAS,10.080824502530092
25,RSAF,16.032071603381898
