,Region,CBR
0,CAN,5.3279454706793485
1,USA,3.5981929859327257
2,MEX,9.60012276478526
3,RCAM,8.38477048886115
4,BRA,4.936921462043229
5,RSAM,6.546517553341827
6,NAF,16.759681322269206
7,WAF,23.359959871627318
8,EAF,36.93792862295217
9,SAF,6.3071312383984965
10,WEU,4.595543892282367
11,CEU,6.298587044073436
12,TUR,3.115640209346053
13,UKR,1.7784941407200967
14,STAN,1.9858581247318021
15,RUS,1.742216842018854
16,ME,1.8651434419522475
17,INDIA,16.793955804383927
18,KOR,5.149104970732406
19,CHN,1.8710697371517124
20,SEAS,10.559873674123283
21,INDO,10.536852395823455
22,JAP,5.966548192641708
23,OCE,8.447579944391268
24,RSAS,11.05200248242894
25,RSAF,16.70014024998734
