,0
BRA,1.1169418629595622
CAN,0.43170042585282054
CEU,0.5614250179372077
CHN,6.517224231287249
EAF,1.1717798399818884
INDIA,7.999534088602977
INDO,1.414132890548034
JAP,0.59074507164395
KOR,0.41965750646562716
ME,2.850406985177605
MEX,0.6737366908312941
NAF,0.952265404856802
OCE,0.35494713945024264
RCAM,0.643616212160505
RSAF,1.2490451742509028
RSAM,1.5215001727520565
RSAS,2.455973109499558
RUS,1.488054745929693
SAF,0.56340703085845
SEAS,2.2672406279934076
STAN,0.4778036100682679
TUR,0.5482766475295886
UKR,0.3903986883638938
USA,3.495833835781944
WAF,3.115075159865448
WEU,2.7747448758369657
