,0
CAN,0.8914817364080341
USA,7.607220707595253
MEX,1.1889580573896477
RCAM,1.168235670733075
BRA,1.9695842964009087
RSAM,2.655906286117434
NAF,1.5982157892374584
WAF,6.79272162449815
EAF,1.9678871851366122
SAF,1.0315538920873615
WEU,5.54039394123816
CEU,0.9794109131314344
TUR,0.8788364873245943
UKR,0.7222168804906789
STAN,0.8740892860616869
RUS,2.8173281252956173
ME,5.335295094588728
INDIA,11.723110055827245
KOR,0.7894139926752275
CHN,11.117274053205302
SEAS,3.7974895569929483
INDO,2.5429981006595783
JAP,1.1969247331007367
OCE,0.697408670856788
RSAS,4.581131006520807
RSAF,2.682494620820666
