,Region,CBR
0,CAN,6.292057228770878
1,USA,4.606472379735194
2,MEX,9.20376186350682
3,RCAM,7.766264885023034
4,BRA,5.82884368895852
5,RSAM,6.8257314592367395
6,NAF,14.414066265436466
7,WAF,18.711212038739294
8,EAF,21.976918350925782
9,SAF,7.071442385260318
10,WEU,5.048707824485271
11,CEU,7.412312839869164
12,TUR,3.0874227231397526
13,UKR,2.052057052815396
14,STAN,2.177854764475341
15,RUS,2.2147438799796317
16,ME,1.8896839862251669
17,INDIA,13.900202682437355
18,KOR,7.653898568966255
19,CHN,2.6443360003821934
20,SEAS,9.90446430537366
21,INDO,11.498896460996036
22,JAP,8.097777541489286
23,OCE,9.5174038282254
24,RSAS,8.464385469319557
25,RSAF,14.557104104006154
