,Region,CBR
0,BRA,1.8452451949344157
1,CAN,2.163613234377203
2,CEU,2.4329191323242054
3,CHN,1.0080841021021067
4,EAF,29.65668022893646
5,INDIA,7.27062114151136
6,INDO,4.39681407315688
7,JAP,2.513604110185611
8,KOR,2.234502084703507
9,ME,0.846112991643636
10,MEX,3.83097403554949
11,NAF,7.531565716374872
12,OCE,3.3614505958358296
13,RCAM,3.2836576981591423
14,RSAF,6.907569088909519
15,RSAM,2.4597357673951485
16,RSAS,6.048622902299301
17,RUS,0.7381150392250664
18,SAF,2.4745250066159667
19,SEAS,4.61191796132852
20,STAN,0.8686301571853675
21,TUR,1.3681779346441878
22,UKR,0.7346815629326303
23,USA,1.6143172540873427
24,WAF,11.710848104149967
25,WEU,1.942832713805787
