Region,0
BRA,105.84911
CAN,54.32789
CEU,84.50609999999999
CHN,1001.4072000000001
EAF,147.047346
INDIA,674.44242
INDO,139.64946999999998
JAP,93.92249999999999
KOR,57.36644
ME,209.39330999999999
MEX,99.59304
NAF,109.94657000000001
OCE,47.1156
RCAM,72.53425999999999
RSAF,91.791833
RSAM,160.18147
RSAS,180.94065999999998
RUS,108.06572000000001
SAF,34.554178
SEAS,197.93349
STAN,33.911305
TUR,65.32104
UKR,24.459024
USA,486.87149999999997
WAF,329.75309000000004
WEU,454.76169999999996
