,Region,GF,IEPC,PCC,AP,GDR
0,CAN,0.02165458718319632,0.21493141188262022,0.19633383268910404,0.3000298432889116,0.17054676028519655
1,USA,-1.0276035266414072,1.336300349933111,1.1683205841852768,1.678895126634629,-0.34376412614239404
2,MEX,-0.048867080329547515,-0.12147664273074879,-0.11242111823561829,0.0655902330904434,0.134947177344602
3,RCAM,0.24249343492628803,0.11109063390208049,0.12280407148515168,0.32617777907114565,0.5599745608475978
4,BRA,-1.7200057628382495,-1.2688153343018966,-1.2621627992574787,-1.545125176232642,-1.7921344001467674
5,RSAM,-1.626488548658224,-1.4646944360805414,-1.449370007938142,-1.460019748795252,-1.4709631764974773
6,NAF,0.9684866269154937,0.5953168781258935,0.6122645389908772,0.6622758810336434,0.8896611733834541
7,WAF,-0.7977239388787094,-3.4070936305150648,-3.3108790305330964,-3.5305499380979493,-0.7075418939403545
8,EAF,0.6371347878492117,-1.373817088514084,-1.2709604051480314,-0.8486095670639815,0.22625928578722396
9,SAF,-0.17789996412417897,-0.015698328089197803,-0.0243790826881126,-0.1845811536331573,-0.2202254478354888
10,WEU,1.0989831775400716,1.81590547168,1.770911818001329,2.7288791409896542,1.967928453840414
11,CEU,-0.09307168181046846,0.13024258613088532,0.12441456940910392,0.2297674549635485,0.01049902156968742
12,TUR,0.25616304991497846,0.2467236174406358,0.24266048453100145,0.2990156890038032,0.23266089490711367
13,UKR,0.01918606762628808,0.16181325524710147,0.15277881706955448,0.04957012453444718,0.029672506552629097
14,STAN,0.30069052673461466,0.4147150819618912,0.40012309778580657,0.2583242088255837,0.24553886822559567
15,RUS,0.3681712666709908,1.2397001507651195,1.1556529035259244,0.948353004065159,0.5118704570065511
16,ME,1.5999278228951233,1.6753751747588284,1.6287210354290953,0.9281436556555761,1.1906346983536436
17,INDIA,2.3342988822398523,-1.117193971638984,-0.8656450399219856,-1.5399867870085195,-0.22276388315600493
18,KOR,-0.21454508829910196,0.16707551370992918,0.14318184980489404,0.20183557846628714,0.016263252210181486
19,CHN,-4.709273566602197,0.1812680520382525,-0.03343828232263773,1.0499339939679846,-2.92400732614763
20,SEAS,0.525007389352299,0.18276780323948608,0.2034028345460682,-0.08101600708497668,0.19238203468719833
21,INDO,-0.23129125959009833,0.0980494833887286,0.0880217508189624,0.008784455663566986,0.035012216000463864
22,JAP,-0.35399189090521266,0.11431664319400303,0.09795696287373754,0.2222018980346345,-0.2293806711893077
23,OCE,-0.22068385377708213,-0.11126503854958508,-0.11867428158041599,-0.053199039481136634,-0.15331786636049974
24,RSAS,1.8382107803913426,-0.200176549718654,-0.06324768689764637,-0.7503151651668328,0.7838161073584675
25,RSAF,1.0110377622147178,0.39463891274017937,0.4036285833772684,0.035624515275417365,0.8664313230559018
