,0
BRA,1.1206815336268074
CAN,0.5467185347231835
CEU,0.6786074266631993
CHN,8.699210888827594
EAF,0.7377466923391097
INDIA,6.107584079484715
INDO,1.4241393933764521
JAP,0.827726092664768
KOR,0.5866802539914916
ME,2.590482148439924
MEX,0.6898502616303724
NAF,0.8202056647021084
OCE,0.42350680967058313
RCAM,0.6186628113006596
RSAF,0.8988725765630041
RSAM,1.5132392464166198
RSAS,1.5964694524571825
RUS,1.7074210165393942
SAF,0.5451010426678179
SEAS,1.937659585416134
STAN,0.4576603477408435
TUR,0.5491052142843377
UKR,0.38540915339465753
USA,4.884610203404364
WAF,2.2581772543345977
WEU,3.4399393618260183
