,Region,CBR
0,CAN,5.432705679968128
1,USA,3.673585072910441
2,MEX,9.532775308884432
3,RCAM,8.30733904940499
4,BRA,4.923567837702626
5,RSAM,6.5131792132174455
6,NAF,16.594612590426404
7,WAF,23.060238996269273
8,EAF,35.23756961782729
9,SAF,6.356920967290039
10,WEU,4.6302495106558865
11,CEU,6.333143123692516
12,TUR,3.128686057010358
13,UKR,1.7991142843211487
14,STAN,2.0167756609341296
15,RUS,1.7914592168481775
16,ME,1.8802101110469471
17,INDIA,16.465509149869856
18,KOR,5.297437491426066
19,CHN,1.9051388769430861
20,SEAS,10.506119242251103
21,INDO,10.575331313869006
22,JAP,6.043682471728533
23,OCE,8.532362967793274
24,RSAS,10.75408029536372
25,RSAF,16.646697893239466
