,0
CAN,0.8742910732680094
USA,7.451099579633647
MEX,1.1973578463014198
RCAM,1.1791246171298608
BRA,1.9749261723876448
RSAM,2.669500800287316
NAF,1.6141134459078388
WAF,6.881008674415
EAF,2.0628459105143135
SAF,1.0234743849032506
WEU,5.498866417220058
CEU,0.9740668681867761
TUR,0.875171956359661
UKR,0.7139393542008797
STAN,0.8606893389731933
RUS,2.7398873852227945
ME,5.29254182715311
INDIA,11.956957442099363
KOR,0.7673097644339537
CHN,10.918466518278818
SEAS,3.8169193663230923
INDO,2.533745263788459
JAP,1.1816486283681016
OCE,0.6904787716149013
RSAS,4.708042888449323
RSAF,2.6911064689733477
