,Region,CBR
0,CAN,6.401254773032864
1,USA,4.131010793560047
2,MEX,8.98910722321183
3,RCAM,8.824437580788242
4,BRA,3.5134456918305434
5,RSAM,4.879483347747442
6,NAF,21.258051707069004
7,WAF,17.727672913004024
8,EAF,24.86083600448791
9,SAF,6.314555452641444
10,WEU,5.808822898155034
11,CEU,6.938729142054874
12,TUR,3.7974634332363912
13,UKR,2.099919824689215
14,STAN,2.8566686693529233
15,RUS,2.495931302185159
16,ME,2.3314083195924593
17,INDIA,15.610746748870742
18,KOR,6.137112745512851
19,CHN,1.926612792738839
20,SEAS,10.825511504107183
21,INDO,10.835224149470958
22,JAP,6.426777737966579
23,OCE,7.778978217960751
24,RSAS,10.41312454172709
25,RSAF,18.081169229858155
