,0
CAN,0.9360341707077605
USA,7.806666017247396
MEX,1.303000170292018
RCAM,1.2949243778182709
BRA,1.7552172795140404
RSAM,2.626206009511766
NAF,1.657109702290525
WAF,6.791380767814537
EAF,2.406742026124009
SAF,0.9101939331639343
WEU,6.102465188511564
CEU,1.0367466420506064
TUR,0.9085011064416383
UKR,0.6390661586211684
STAN,0.7691165149579055
RUS,2.585917108514615
ME,4.837866641873298
INDIA,11.552836743078226
KOR,0.7997233583460426
CHN,11.523686873194489
SEAS,3.6239865265852274
INDO,2.4527884550801
JAP,1.2579650447558337
OCE,0.72766966779537
RSAS,4.3803639704645
RSAF,2.461406309639293
