,0
BRA,1.3214060954380629
CAN,0.5178159930872451
CEU,0.6509239625323742
CHN,8.451400268258347
EAF,0.38543579406440787
INDIA,6.369889586289955
INDO,1.5326945159179006
JAP,0.7885769158532402
KOR,0.5749694528550648
ME,2.8844404220429993
MEX,0.6441436445899507
NAF,0.7771477592639047
OCE,0.40885238281505165
RCAM,0.5841184710771848
RSAF,1.0254713077558413
RSAM,1.6079167248904882
RSAS,1.5872775809147737
RUS,1.8423320700350618
SAF,0.6343856840089911
SEAS,2.0809313589406604
STAN,0.5171799171136716
TUR,0.5363191947787869
UKR,0.44803567659656685
USA,4.593349469470486
WAF,2.183483602850934
WEU,3.096969195043992
