,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
0,CAN,0.511577,0.3844428731242705,0.2961801522701059,0.2705485253593089,0.2539174033387458,0.2382531899287612,0.2225318057636316,0.2072231908662753,0.193133023954224,0.1798517521374025,0.1662236742758127,0.1518482748794195,0.1374879382146902,0.1240921407702669,0.1117716785137877,0.1003129480028913,0.0902257197731422,0.1203261927301679,0.1203260469656511,0.1203258761105208,0.1203258617730273,0.1203258522146984,0.1203257721636932,0.1203257530470353,0.1203256789699858,0.1203256538793723,0.1203255941398162
1,USA,5.393819999999999,4.053379369899649,3.122780009495233,2.852532555321188,2.6771820634559296,2.512026187458684,2.346267530721654,2.1848609131339627,2.036301020696343,1.896269726187386,1.7525818767895436,1.6010146312482985,1.4496061998509713,1.308367402618728,1.1784664185474296,1.057651116443772,0.9512962698220798,1.2686610712988158,1.2686595344283822,1.268657733014677,1.2686575818470935,1.268657481068704,1.2686566370496954,1.268656435492917,1.268655654460402,1.268655389917131,1.2686547600521985
2,MEX,0.572878,0.4305097067883933,0.3316706835377543,0.3029676825009532,0.284343694477848,0.2668024773201471,0.2491972387778531,0.2320542306184408,0.2162756740370423,0.2014029404390167,0.1861418438901261,0.1700438761249472,0.1539627760211176,0.1389617934742746,0.1251650008573913,0.1123331991586807,0.1010372434495651,0.1347445812436312,0.1347444180125148,0.134744226684239,0.1347442106287194,0.1347441999250396,0.1347441102817216,0.134744088874362,0.1347440059208439,0.1347439778236845,0.1347439109256859
3,RCAM,0.302334,0.2271997208692987,0.1750378342975353,0.1598899439692974,0.1500612111588605,0.1408039062036059,0.1315128142268745,0.1224656624268966,0.11413859431557,0.1062895705450195,0.0982355898300814,0.0897399537848543,0.0812532195782847,0.0733365129543311,0.0660553125957333,0.059283382211292,0.0533219882087998,0.0711108966057555,0.0711108104612075,0.0711107094884997,0.0711107010152654,0.0711106953664426,0.0711106480575515,0.0711106367599059,0.071110592981529,0.0711105781533691,0.0711105428482265
4,BRA,1.57743,1.1854163133847266,0.9132612638868308,0.8342270281062962,0.782945538107925,0.7346454773950469,0.6861691326344334,0.6389655476461781,0.59551900491248,0.5545666622504587,0.5125449551346041,0.4682189078927373,0.4239393060634056,0.3826338275865454,0.3446441079993905,0.3093115084693036,0.2782078888256271,0.3710216569516394,0.3710212074917894,0.3710206806658996,0.371020636456734,0.3710206069839569,0.3710203601494491,0.3710203012038949,0.3710200727898729,0.3710199954238332,0.3710198112189765
5,RSAM,1.38348,1.0396656341273471,0.8009729074267339,0.731656180524333,0.6866799116674286,0.6443184959500576,0.6018024708653226,0.5604027157195782,0.522298062618511,0.4863809398136617,0.4495259342916148,0.41064991453912,0.3718146295890152,0.3355877901329592,0.3022690265400028,0.2712806817019533,0.2440013503182255,0.3254033725486734,0.3254029783513314,0.3254025163003485,0.3254024775268394,0.3254024516778333,0.3254022351924078,0.3254021834943956,0.3254019831645989,0.3254019153109581,0.3254017537546703
6,NAF,0.583268,0.4383176446975667,0.3376860278204066,0.3084624548978421,0.2895006929760009,0.2716413395898735,0.2537168036955178,0.2362628814238926,0.2201981571019267,0.2050556842189514,0.1895178048417047,0.1731278763360536,0.1567551214120375,0.1414820735935979,0.1274350554919004,0.1143705298630518,0.1028697050896368,0.1371883759069301,0.1371882097153731,0.1371880149170726,0.1371879985703621,0.137187987672555,0.1371878964034213,0.1371878746078072,0.1371877901498029,0.1371877615430594,0.1371876934317656
7,WAF,1.817,1.3654497768015366,1.0519615554936648,0.9609241044414903,0.901854309061004,0.846218743416063,0.7903801208273998,0.7360075566415659,0.6859626303075104,0.6387907072320694,0.5903870114550729,0.539329007081838,0.4883245019539427,0.4407458110500961,0.3969864553323395,0.3562877661060869,0.3204603272387138,0.4273700580571744,0.4273695403362312,0.4273689334993879,0.4273688825760165,0.427368848627102,0.4273685643049447,0.427368496407116,0.4273682333030302,0.4273681441871302,0.4273679320064157
8,EAF,0.283526,0.2130657751334246,0.1641488453400642,0.149943295341705,0.1407260015579693,0.1320445874770405,0.1233314882430981,0.1148471538273839,0.1070381071659698,0.0996773660201869,0.0921244181672047,0.084157290072584,0.0761985100390718,0.068774296545839,0.0619460548896846,0.0555954018563535,0.05000486226785,0.0666871343317107,0.0666870535461586,0.0666869588548967,0.0666869509087769,0.0666869456113636,0.0666869012455276,0.0666868906507011,0.0666868495957484,0.0666868356900386,0.0666868025812058
9,SAF,0.507151,0.3811167967829808,0.2936176966594208,0.2682078263575158,0.2517205914664817,0.2361918998030818,0.22060653200756,0.2054303623325959,0.1914620990220606,0.1782957325060271,0.1647855603998083,0.1505345323448328,0.1362984367036015,0.1230185353989363,0.110804665827326,0.0994450725748311,0.0894451158059664,0.1192851691325008,0.1192850246290919,0.1192848552521453,0.1192848410386953,0.1192848315630619,0.1192847522046323,0.1192847332533656,0.119284659817207,0.1192846349436694,0.1192845757209607
10,WEU,3.13174,2.353458274078396,1.8131370840956136,1.6562269977124895,1.5544156377868514,1.4585234383631378,1.362281254595488,1.268565935848463,1.182309635574707,1.1010051785729011,1.017577666072818,0.9295752474620116,0.8416650389373918,0.7596594861298999,0.6842368528467261,0.6140895149284957,0.5523381536745018,0.7366053415630026,0.736604449230924,0.7366034033007008,0.7366033155303324,0.7366032570167533,0.7366027669655298,0.736602649938372,0.7366021964581354,0.7366020428599908,0.7366016771501224
11,CEU,0.784933,0.5898660372339904,0.4544410234663229,0.4151133957466,0.3895956017469351,0.3655613742024218,0.3414394272875142,0.3179508087272065,0.2963317035196285,0.2759537183267969,0.2550436147839651,0.2329868659965703,0.2109532285592812,0.1903995221271244,0.1714957453733513,0.1539141580148316,0.1384369213211146,0.1846212778101222,0.184621054157809,0.1846207920079664,0.1846207700093783,0.1846207553436528,0.184620632518202,0.1846206031867511,0.1846204895273789,0.1846204510298495,0.1846203593690654
12,TUR,0.435783,0.3274847551369862,0.2522988236310928,0.2304647160186163,0.2162976204543376,0.2029541786802873,0.1895620364306696,0.1765215085613272,0.1645189063969717,0.1532053554043549,0.1415963803043071,0.1293508050044824,0.1171180607787534,0.1057069519960616,0.0952118593638376,0.0854508264045178,0.0768580972950294,0.1024989576281396,0.1024988334597379,0.1024986879180868,0.1024986757048014,0.1024986675626111,0.1024985993717676,0.102498583087387,0.1024985199854124,0.1024984986121629,0.1024984477234737
13,UKR,0.403864,0.3034980785130302,0.2338191533560228,0.2135842886715234,0.2004548644329187,0.1880887653225013,0.1756775328111376,0.1635921606249253,0.152468691098796,0.141983803074063,0.1312251293309254,0.1198764832779853,0.1085397284849351,0.0979644283070644,0.0882380505208255,0.0791919660818209,0.0712286128783356,0.0949914040325826,0.0949912889589167,0.0949911540774886,0.0949911427587673,0.0949911352129532,0.0949910720167596,0.0949910569251312,0.0949909984450715,0.0949909786373093,0.0949909314759708
14,STAN,0.485141,0.3645765933776963,0.2808748932271612,0.2565677935899004,0.2407960932042732,0.2259413359381464,0.211032362244538,0.1965148277581981,0.1831527773417808,0.1705578219577729,0.1576339819066183,0.1440014385386295,0.1303831795280339,0.117679616686106,0.1059958205428654,0.0951292257217793,0.0855632601083747,0.1141082759140977,0.114108137682036,0.1141079756559309,0.1141079620593347,0.1141079529949372,0.1141078770806082,0.1141078589518132,0.1141077887027327,0.1141077649086893,0.114107708256205
15,RUS,1.8782,1.4114407103955129,1.0873936122884984,0.9932898475299984,0.9322304696083532,0.8747209927815353,0.8170016196686971,0.7607976845812819,0.7090671503817094,0.6603063876297595,0.6102723637396357,0.5574946291145338,0.5047721956906414,0.4555909643997196,0.4103577107348378,0.3682882126034411,0.3312540377654113,0.4417646907226115,0.4417641555638468,0.4417635282875897,0.4417634756490227,0.4417634405566445,0.4417631466579786,0.4417630764732226,0.441762804507293,0.4417627123898007,0.4417624930624381
16,ME,2.00627,1.5076835023134945,1.1615404017282749,1.061019924610803,0.995797052636115,0.9343661410860457,0.8727110209204115,0.8126746729021875,0.7574167563605112,0.7053311129325724,0.6518853877115957,0.5955088646329549,0.5391914136131738,0.4866566308945935,0.4383390290256538,0.3934009116706984,0.3538414643528974,0.4718875764327834,0.4718870047828127,0.4718863347340766,0.4718862785062106,0.4718862410209665,0.4718859270820482,0.4718858521115602,0.4718855616009194,0.471885463202154,0.471885228919379
17,INDIA,2.77719,2.087018968428981,1.607868526307898,1.4687225171237546,1.3784374070341934,1.293401338485226,1.2080549079585283,1.1249492714526088,1.048458204327856,0.9763583732624276,0.9023758416856982,0.8243363374670387,0.7463786040624492,0.6736570495268114,0.6067731501840506,0.5445673203919447,0.4898069434254725,0.6532129067340694,0.6532121154245338,0.6532111879059797,0.6532111100722549,0.6532110581831049,0.6532106236114746,0.6532105198331748,0.6532101176922633,0.6532099814832449,0.6532096571760581
18,KOR,0.784572,0.5895947508446534,0.4542320206476476,0.4149224801705388,0.3894164221071052,0.3653932481890079,0.3412823952436956,0.3178045793777582,0.2961954170531778,0.2758268039375229,0.2549263171994108,0.2328797125724886,0.210856208666488,0.1903119551277908,0.1714168724452418,0.1538433710673554,0.1383732525384327,0.1845363682939094,0.1845361447444566,0.1845358827151798,0.1845358607267091,0.1845358460677285,0.1845357232987667,0.1845356939808056,0.1845355803737067,0.1845355418938828,0.1845354502752546
19,CHN,11.3913,8.560400683808114,6.59505210076774,6.024311915753631,5.653986235997036,5.3051907385115005,4.955122218151436,4.614244843132124,4.30049868498731,4.0047642175523785,3.7013074097898575,3.3812099715857675,3.061447935667555,2.7631633227380075,2.488823229844402,2.2336713428972303,2.009058737300144,2.6793068477417123,2.6793036019989604,2.679299797562784,2.679299478309398,2.6792992654738077,2.6792974829757386,2.6792970573045576,2.679295407828733,2.679294849135309,2.679293518912869
